state,district,latitude,longitude
Tamil Nadu,Chennai,13.0827,80.2707
Tamil Nadu,Coimbatore,11.0168,76.9558
Tamil Nadu,Madurai,9.9252,78.1198
Tamil Nadu,Salem,11.6643,78.1460
Tamil Nadu,Tiruchirappalli,10.7905,78.7047
Tamil Nadu,Tirunelveli,8.7139,77.7567
Tamil Nadu,Vellore,12.9165,79.1325
Tamil Nadu,Erode,11.3410,77.7172
Tamil Nadu,Thanjavur,10.7870,79.1378
Tamil Nadu,Dindigul,10.3673,77.9803
Kerala,Thiruvananthapuram,8.5241,76.9366
Kerala,Kochi,9.9312,76.2673
Kerala,Kozhikode,11.2588,75.7804
Karnataka,Bengaluru,12.9716,77.5946
Karnataka,Mysuru,12.2958,76.6394
Maharashtra,Mumbai,19.0760,72.8777
Maharashtra,Pune,18.5204,73.8567
Delhi,New Delhi,28.6139,77.2090
Telangana,Hyderabad,17.3850,78.4867
Andhra Pradesh,Vijayawada,16.5062,80.6480
